Epoch, Accuracy, Loss
1,18.805670760325906,0.0006563794876765768
2,23.148038023329125,0.0006146767241653607
3,23.69043828114909,0.0006090122171713433
4,24.051686764090896,0.0006067746308891815
5,24.116205698383894,0.0006058148497760538
6,24.384672245092663,0.0006021957239789093
7,24.548559290278934,0.0006010887389437918
8,24.63833588467672,0.0006003285907176503
9,24.847398972556753,0.0005984338736599781
10,25.067428360963294,0.0005974783567499491
11,24.86201004935155,0.000598501057988689
12,24.96853982589479,0.0005976457215614049
13,24.779682866098593,0.0005994417985004224
14,25.200270864425832,0.0005960603816621697
15,24.72558671306403,0.000599100813196452
16,24.71385309121788,0.0005988059070363847
17,25.114554678677802,0.0005955597232432531
18,25.190135828662264,0.000596229973578902
19,25.44268045798852,0.0005944021097936474
20,25.56398116993482,0.0005944395187016321
21,25.00671406154684,0.0005976998486466923
22,25.158164107010634,0.0005972586537199893
23,25.561455403924338,0.0005941164395711347
24,25.460616593835084,0.0005943836709138823
25,25.301908967556376,0.0005960711249559047
26,25.627860669794778,0.000593654954229161
27,25.174341798166356,0.0005967122450700791
28,25.58281251398763,0.000593615494916407
29,25.254782649841868,0.0005956867751484187
30,25.159602834484957,0.000595851246434645
31,25.46915304351607,0.0005938624015789096
32,25.50550489103398,0.000593719122089297
33,25.658361692250438,0.0005912308033624314
34,25.228246120871013,0.0005945645453722338
35,25.406872129738687,0.0005930000320479836
36,25.58476278900838,0.0005921324541904455
37,25.326175504289967,0.0005935062228297332
38,25.415824211801148,0.0005930765469358507
39,25.473565141104,0.0005924593241912736
40,25.558162316594217,0.0005922189894973216
41,25.655931841404918,0.0005926857279290002
42,25.704880547253566,0.0005924211896341362
43,25.6400099240224,0.0005918743415854515
44,25.712425873563348,0.000592021152322631
45,25.835485030200488,0.0005911490275431908
46,25.520467656766943,0.0005926855991339175
47,25.75216672357633,0.0005918128529417616
48,25.622873081217122,0.0005920365117642302
49,25.449874095360137,0.0005918311506517324
50,25.262839523698077,0.0005934598332206934
51,25.61229044135043,0.000592104411306444
52,25.626230111990544,0.000591246149046304
53,26.056313711648322,0.0005902125252781166
54,25.44389538341128,0.0005928747041522882
55,25.749704901009157,0.0005900639908229666
56,26.097109628475806,0.0005894027240608085
57,25.933606243949352,0.000590310767900106
58,25.92356712335074,0.0005900087234705693
59,25.678280074839403,0.0005912326934217944
60,25.374133086767415,0.0005927486520124771
61,25.507583052941335,0.0005908280966103188
62,25.497959564724194,0.000591120204145883
63,25.895304121410696,0.0005898008187261141
64,26.142957077324247,0.0005893785018570399
65,25.736532551688683,0.0005902231337913784
66,25.802682043785914,0.0005910819765747779
67,25.73861071359604,0.0005908255799600366
68,26.195934220101,0.0005889104401531098
69,25.67012728581824,0.000590783497792753
70,25.975553142756297,0.0005892056994535518
71,25.86278888049098,0.0005903591452885591
72,25.71846852895551,0.0005906319265090651
73,25.896487075111807,0.0005895697935781463
74,25.847602312706456,0.0005891566238390581
75,26.10241693426998,0.0005880812464055417
76,25.7985896634145,0.0005906894650338088
77,26.06996563679357,0.0005895680240651027
78,25.792515036300696,0.0005904494114543306
79,26.186342703605515,0.000587002949182765
80,26.008356129170874,0.0005883541726210121
81,25.869950546140952,0.0005888602922461209
82,25.526350453550844,0.0005917593571404987
83,25.868671677274886,0.0005897210089625359
84,25.894920460750875,0.0005886934550030676
85,25.66264590295176,0.000589172166336097
86,25.83705164456142,0.0005892730668066042
87,26.01593342720231,0.0005890806321487506
88,25.23371328527344,0.0005925583372814622
89,26.06165298916415,0.0005888067926650932
90,25.811538210683416,0.0005893649103478387
91,25.71450403547071,0.0005901838451543715
92,26.185895099502392,0.0005884695461994999
93,26.22739439420621,0.0005873236936931348
94,25.820682123075784,0.0005897342060445778
95,25.975233425539777,0.0005890216181401666
96,25.910810406411738,0.0005899348646234269
97,25.811570182405063,0.0005894423502209721
98,26.279796045993244,0.000587794872926426
99,25.283461284163383,0.0005909480841043041
100,26.143052992489203,0.0005873647082935799
